,N. parvum,X. sp.,descriptions
PF11767,1,1,Histone lysine methyltransferase SET associated
PF18005,1,1,"eIF3 subunit M, C-terminal helix"
PF18126,1,1,Mitochondrial ribosomal protein mL59
PF11754,1,1,Velvet factor
PF03982,1,1,Diacylglycerol acyltransferase
PF10494,1,1,Serine-threonine protein kinase 19
PF01781,1,1,Ribosomal L38e protein family
PF05870,1,0,Phenolic acid decarboxylase (PAD)
PF02290,1,0,Signal recognition particle 14kD protein
PF12273,2,1,"Chitin synthesis regulation, resistance to Congo red"
PF14608,2,3,"RNA-binding, Nab2-type zinc finger"
PF09421,1,1,Frequency clock protein
PF02100,1,1,Ornithine decarboxylase antizyme
PF01777,1,1,Ribosomal L27e protein family
PF06427,1,1,UDP-glucose:Glycoprotein Glucosyltransferase
PF18400,1,1,Thioredoxin-like domain
PF18401,1,1,Thioredoxin-like domain
PF18402,1,1,Thioredoxin-like domain
PF18403,1,1,Thioredoxin-like domain
PF18404,1,1,Glucosyltransferase 24
PF06957,1,1,Coatomer (COPI) alpha subunit C-terminus
PF10419,1,1,TFIIIC subunit triple barrel domain
PF04410,1,2,Gar1/Naf1 RNA binding region
PF00579,4,2,tRNA synthetases class I (W and Y)
PF06883,1,1,"RNA polymerase I, Rpa2 specific domain"
PF16242,1,0,Pyridoxamine 5'-phosphate oxidase like
PF02862,1,1,DDHD domain
PF00464,2,2,Serine hydroxymethyltransferase
PF18972,1,1,Cns1/TTC4 Wheel domain
PF01912,1,1,eIF-6 family
PF09751,1,1,Nuclear protein Es2
PF14560,1,1,Ubiquitin-like domain
PF11699,1,1,Mif2/CENP-C like
PF15624,1,1,"Kinetochore CENP-C fungal homologue, Mif2, N-terminal"
PF09532,2,2,FDF domain
PF12701,1,0,Scd6-like Sm domain
PF17733,1,1,Family of unknown function (DUF5572)
PF03796,1,1,DnaB-like helicase C terminal domain
PF06068,2,1,TIP49 P-loop domain
PF17856,2,1,TIP49 AAA-lid domain
PF09796,1,0,Ubiquinol-cytochrome-c reductase complex subunit (QCR10)
PF12931,1,1,Sec23-binding domain of Sec16
PF12932,1,1,Vesicle coat trafficking protein Sec16 mid-region
PF09288,1,1,Fungal ubiquitin-associated domain
PF05071,1,2,NADH ubiquinone oxidoreductase subunit NDUFA12
PF01466,1,1,"Skp1 family, dimerisation domain"
PF03931,2,2,"Skp1 family, tetramerisation domain"
PF04180,1,1,Low temperature viability protein
PF09729,2,1,Gti1/Pac2 family
PF05653,3,1,Magnesium transporter NIPA
PF00436,1,0,Single-strand binding protein family
PF01361,1,0,Tautomerase enzyme
PF14552,1,0,Tautomerase enzyme
PF13892,1,1,DNA-binding domain
PF01134,1,1,Glucose inhibited division protein A
PF13932,1,1,tRNA modifying enzyme MnmG/GidA C-terminal domain
PF01125,1,1,G10 protein
PF00475,1,1,Imidazoleglycerol-phosphate dehydratase
PF04190,1,1,Golgi to ER traffic protein 4
PF08652,1,1,RAI1 like PD-(D/E)XK nuclease
PF02200,1,0,STE like transcription factor
PF13524,1,0,Glycosyl transferases group 1
PF08581,1,1,Tup N-terminal
PF10338,1,1,Protein of unknown function (DUF2423)
PF18953,1,0,SAP domain-containing new25
PF11707,1,1,Ribosome 60S biogenesis N-terminal
PF16201,1,1,Nucleolar pre-ribosomal-associated protein 1
PF16761,1,0,"Transcription-silencing protein, cryptic loci regulator Clr2"
PF10590,1,1,Pyridoxine 5'-phosphate oxidase C-terminal dimerisation region
PF19277,1,1,Glycerol-3-phosphate acyltransferase C-terminal region
PF05004,1,1,Interferon-related developmental regulator (IFRD)
PF06421,1,0,GTP-binding protein LepA C-terminus
PF02301,2,2,HORMA domain
PF11786,1,1,Aft1 HRA domain
PF00576,1,1,HIUase/Transthyretin family
PF12658,1,0,"Telomere capping, CST complex subunit"
PF11937,1,2,Protein of unknown function (DUF3455)
PF00017,1,1,SH2 domain
PF14632,1,1,Acidic N-terminal SPT6
PF14633,1,1,SH2 domain
PF14635,1,1,Helix-hairpin-helix motif
PF14639,1,1,Holliday-junction resolvase-like of SPT6
PF14641,1,1,Helix-turn-helix DNA-binding domain of SPT6
PF05426,1,0,Alginate lyase
PF00275,1,1,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF01761,2,1,3-dehydroquinate synthase
PF04982,1,1,HPP family
PF07529,2,2,HSA domain
PF08880,1,1,QLQ
PF14619,1,1,"Snf2-ATP coupling, chromatin remodelling complex"
PF15375,1,0,Domain of unknown function (DUF4602)
PF00977,2,1,Histidine biosynthesis protein
PF10256,1,1,Golgin subfamily A member 7/ERF4 family
PF11262,1,1,Transcription factor/nuclear export subunit protein 2
PF11732,1,1,Transcription- and export-related complex subunit
PF16134,1,1,THO complex subunit 2 N-terminus
PF10296,1,1,Maintenance of mitochondrial morphology protein 1
PF04511,2,2,Der1-like family
PF08068,1,1,DKCLD (NUC011) domain
PF16198,1,1,tRNA pseudouridylate synthase B C-terminal domain
PF07061,1,0,Swi5
PF12745,1,1,Anticodon binding domain of tRNAs
PF11500,1,1,Cut12 conserved domain
PF02076,1,1,Pheromone A receptor
PF06058,1,1,Dcp1-like decapping family
PF16131,1,1,Torus domain
PF00814,1,1,tRNA N6-adenosine threonylcarbamoyltransferase
PF09273,1,0,Rubisco LSMT substrate-binding
PF04739,1,1,"5'-AMP-activated protein kinase beta subunit, interaction domain"
PF10357,1,0,Domain of Kin17 curved DNA-binding protein
PF09346,1,1,SMI1 / KNR4 family (SUKH-1)
PF05032,1,1,Spo12 family
PF01730,1,1,UreF
PF08698,1,0,Fcf2 pre-rRNA processing
PF06682,1,1,SOCE-associated regulatory factor of calcium homoeostasis
PF08320,1,1,PIG-X / PBN1
PF01293,1,0,Phosphoenolpyruvate carboxykinase
PF08601,1,0,Transcription factor PAP1
PF08630,1,1,"Dfp1/Him1, central region"
PF02548,1,1,Ketopantoate hydroxymethyltransferase
PF00360,1,1,Phytochrome region
PF08446,1,1,PAS fold
PF10602,2,2,26S proteasome subunit RPN7
PF03291,1,1,mRNA capping enzyme
PF11597,1,1,Mediator complex subunit 13 N-terminal
PF02460,1,0,Patched family
PF12349,1,3,Sterol-sensing domain of SREBP cleavage-activation
PF16414,1,1,Niemann-Pick C1 N terminus
PF10360,1,1,Protein of unknown function (DUF2433)
PF08938,1,1,HBS1 N-terminus
PF08164,1,1,"Apoptosis-antagonizing transcription factor, C-terminal"
PF13339,1,1,Apoptosis antagonizing transcription factor
PF08355,1,1,EF hand associated
PF08356,1,1,EF hand associated
PF08632,1,1,Activator of mitotic machinery Cdc14 phosphatase activation C-term
PF02116,1,0,Fungal pheromone mating factor STE2 GPCR
PF03366,2,1,YEATS family
PF17035,2,1,Bromodomain extra-terminal - transcription regulation
PF15377,1,0,Domain of unknown function (DUF4604)
PF08614,1,1,Autophagy protein 16 (ATG16)
PF19269,1,1,Anticodon binding domain
PF18323,1,1,Cop9 signalosome subunit 5 C-terminal domain
PF01159,1,1,Ribosomal protein L6e
PF04683,1,1,Proteasome complex subunit Rpn13 ubiquitin receptor
PF16550,1,0,UCH-binding domain
PF09507,1,1,DNA polymerase subunit Cdc27
PF12612,1,1,Tubulin folding cofactor D C terminal
PF06026,1,0,Ribose 5-phosphate isomerase A (phosphoriboisomerase A)
PF13439,1,1,Glycosyltransferase Family 4
PF13579,1,1,Glycosyl transferase 4-like domain
PF09770,1,1,Topoisomerase II-associated protein PAT1
PF04177,1,1,TAP42-like family
PF04388,1,1,Hamartin protein
PF16413,1,1,DNA mismatch repair protein Mlh1 C-terminus
PF18151,1,0,Domain of unknown function (DUF5601)
PF01871,1,1,AMMECR1
PF09337,1,1,H2C2 zinc finger
PF17921,1,1,Integrase zinc binding domain
PF04437,1,1,RINT-1 / TIP-1 family
PF11704,1,1,Vesicle coat protein involved in Golgi to plasma membrane transport
PF13446,1,0,A repeated domain in UCH-protein
PF07986,1,1,Tubulin binding cofactor C
PF16752,1,1,Tubulin-specific chaperone C N-terminal domain
PF08620,1,1,"RPAP1-like, C-terminal"
PF08621,1,1,"RPAP1-like, N-terminal"
PF08729,1,0,HPC2 and ubinuclein domain
PF20180,1,0,Complex III assembly factor UQCC2/CBP6
PF10176,1,0,Protein of unknown function (DUF2370)
PF10237,1,0,Probable N6-adenine methyltransferase
PF17778,1,0,Beta-lactamase associated winged helix domain
PF08625,1,1,Utp13 specific WD40 associated domain
PF09334,1,1,tRNA synthetases class I (M)
PF20520,1,1,V0 complex accessory subunit Ac45/VOA1 transmembrane domain
PF06479,1,1,Ribonuclease 2-5A
PF02205,1,1,WH2 motif
PF08226,1,0,Domain of unknown function (DUF1720)
PF05241,1,2,EXPERA (EXPanded EBP superfamily)
PF01210,1,2,NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus
PF07479,1,1,NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus
PF10236,1,1,Mitochondrial ribosomal death-associated protein 3
PF04939,1,1,Ribosome biogenesis regulatory protein (RRS1)
PF12589,1,1,Methyltransferase involved in Williams-Beuren syndrome
PF04148,1,0,Transmembrane adaptor Erv26
PF09805,1,1,Nucleolar protein 12 (25kDa)
PF12718,1,1,Tropomyosin like
PF07393,1,2,Exocyst complex component Sec10
PF16491,1,1,"CAAX prenyl protease N-terminal, five membrane helices"
PF11712,1,1,Endoplasmic reticulum-based factor for assembly of V-ATPase
PF02602,1,1,Uroporphyrinogen-III synthase HemD
PF08171,1,1,Mad3/BUB1 homology region 2
PF08311,1,1,Mad3/BUB1 homology region 1
PF07831,1,0,Pyrimidine nucleoside phosphorylase C-terminal domain
PF10075,1,2,CSN8/PSMD8/EIF3K family
PF01084,1,1,Ribosomal protein S18
PF04158,1,1,Sof1-like domain
PF18055,1,0,26S proteasome regulatory subunit RPN6 N-terminal domain
PF18503,1,1,26S proteasome subunit RPN6 C-terminal helix domain
PF14223,1,0,gag-polypeptide of LTR copia-type
PF03847,1,1,Transcription initiation factor TFIID subunit A
PF01257,1,1,Thioredoxin-like [2Fe-2S] ferredoxin
PF06280,2,1,Fn3-like domain
PF07510,1,1,Protein of unknown function (DUF1524)
PF00438,1,1,"S-adenosylmethionine synthetase, N-terminal domain"
PF02772,1,1,"S-adenosylmethionine synthetase, central domain"
PF02773,1,1,"S-adenosylmethionine synthetase, C-terminal domain"
PF01341,1,3,Glycosyl hydrolases family 6
PF02637,1,1,GatB domain
PF02934,1,1,GatB/GatE catalytic domain
PF00398,1,0,Ribosomal RNA adenine dimethylase
PF08883,1,1,"Dopa 4,5-dioxygenase family"
PF06813,1,1,Nodulin-like
PF16455,1,1,Ubiquitin-binding domain
PF15406,1,1,Pleckstrin homology domain
PF05916,1,4,GINS complex protein
PF12325,1,1,TATA element modulatory factor 1 TATA binding
PF12329,1,1,TATA element modulatory factor 1 DNA binding
PF14732,1,1,Ubiquitin/SUMO-activating enzyme ubiquitin-like domain
PF05033,1,1,Pre-SET motif
PF07718,1,1,Coatomer beta C-terminal region
PF14806,1,1,Coatomer beta subunit appendage platform
PF02792,1,1,Mago nashi protein
PF02390,1,1,Putative methyltransferase
PF05997,1,1,"Nucleolar protein,Nop52"
PF03834,1,1,Binding domain of DNA repair protein Ercc1 (rad10/Swi10)
PF08633,1,1,Rox3 mediator complex subunit
PF03223,1,1,V-ATPase subunit C
PF01571,1,2,Aminomethyltransferase folate-binding domain
PF08669,1,2,Glycine cleavage T-protein C-terminal barrel domain
PF02194,1,2,PXA domain
PF08628,2,2,Sorting nexin C terminal
PF01149,1,1,Formamidopyrimidine-DNA glycosylase N-terminal domain
PF06831,1,1,Formamidopyrimidine-DNA glycosylase H2TH domain
PF12569,1,1,"N-terminal acetyltransferase A, auxiliary subunit"
PF11701,1,1,Myosin-binding striated muscle assembly central
PF07823,1,0,Cyclic phosphodiesterase-like protein
PF00764,1,1,Arginosuccinate synthase
PF08144,1,1,CPL (NUC119) domain
PF13813,2,1,Membrane bound O-acyl transferase family
PF08122,1,0,NADH-ubiquinone oxidoreductase B12 subunit family
PF00344,1,1,SecY
PF10559,1,1,Plug domain of Sec61p
PF04048,1,1,Sec8 exocyst complex component specific domain
PF08510,1,1,PIG-P
PF07910,1,1,Peptidase family C78
PF01843,2,2,DIL domain
PF01725,1,1,Ham1 family
PF00479,1,1,"Glucose-6-phosphate dehydrogenase, NAD binding domain"
PF02781,1,1,"Glucose-6-phosphate dehydrogenase, C-terminal domain"
PF07814,1,1,Wings apart-like protein regulation of heterochromatin
PF05129,1,1,Transcription elongation factor Elf1 like
PF01015,1,1,Ribosomal S3Ae family
PF12409,1,0,P5-type ATPase cation transporter
PF08167,1,0,rRNA processing/ribosome biogenesis
PF16899,1,1,Cyclin C-terminal domain
PF09435,1,1,Fungal protein of unknown function (DUF2015)
PF08726,1,1,Ca2+ insensitive EF hand
PF11971,1,1,CAMSAP CH domain
PF19316,1,1,GPI ethanolamine phosphate transferase membrane region
PF04059,1,0,RNA recognition motif 2
PF04091,1,0,Exocyst complex subunit Sec15-like
PF01680,1,0,SOR/SNZ family
PF04118,1,1,"Dopey, N-terminal"
PF13422,1,1,Domain of unknown function (DUF4110)
PF12138,1,1,Spherulation-specific family 4
PF18566,2,0,Linalool dehydratase/isomerase
PF00574,1,1,Clp protease
PF08672,1,1,Anaphase promoting complex (APC) subunit 2
PF09369,1,1,MrfA Zn-binding domain
PF03399,2,3,SAC3/GANP family
PF11605,1,2,Vacuolar protein sorting protein 36 Vps36
PF16988,1,2,Vacuolar protein sorting 36 NZF-N zinc-finger domain
PF00996,1,1,GDP dissociation inhibitor
PF06984,1,1,Mitochondrial 39-S ribosomal protein L47 (MRP-L47)
PF01286,1,0,XPA protein N-terminal
PF05181,1,1,XPA protein C-terminus
PF17125,1,0,N-terminal domain of 16S rRNA methyltransferase RsmF
PF12754,1,0,Blt1 N-terminal domain
PF17183,1,0,Get5 carboxyl domain
PF13555,1,1,P-loop containing region of AAA domain
PF10998,1,1,Protein of unknown function (DUF2838)
PF10262,1,0,Rdx family
PF09830,1,1,ATP adenylyltransferase C-terminal domain
PF19327,1,1,Ap4A phosphorylase N-terminal domain
PF01323,2,3,DSBA-like thioredoxin domain
PF19282,1,1,Exportin-T
PF07792,1,1,Docking domain of Afi1 for Arf3 in vesicle trafficking
PF08616,2,2,Stabilization of polarity axis
PF07944,2,4,"Beta-L-arabinofuranosidase, GH127"
PF07571,1,1,TAF6 C-terminal HEAT repeat domain
PF02978,1,1,Signal peptide binding domain
PF07890,1,1,Rrp15p
PF13257,1,0,Domain of unknown function (DUF4048)
PF02778,1,0,"tRNA intron endonuclease, N-terminal domain"
PF03803,1,0,Scramblase
PF01016,1,1,Ribosomal L27 protein
PF02765,1,2,Telomeric single stranded DNA binding POT1/CDC13
PF02096,1,1,60Kd inner membrane protein
PF02928,1,1,C5HC2 zinc finger
PF08429,1,1,PLU-1-like protein
PF01541,1,1,GIY-YIG catalytic domain
PF02223,1,0,Thymidylate kinase
PF05002,1,1,SGS domain
PF08231,1,1,SYF2 splicing factor
PF20305,1,0,prokaryotic YEATS domain
PF12330,1,0,Haspin like kinase domain
PF02736,1,0,Myosin N-terminal SH3-like domain
PF00567,1,1,Tudor domain
PF01287,1,1,"Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold"
PF00457,1,4,Glycosyl hydrolases family 11
PF04111,1,1,Apg6 BARA domain
PF17675,1,1,Apg6 coiled-coil region
PF10384,1,1,Centromere protein Scm3
PF13229,1,1,Right handed beta helix region
PF07522,1,1,DNA repair metallo-beta-lactamase
PF05051,1,0,Cytochrome C oxidase copper chaperone (COX17)
PF10637,1,1,Oxoglutarate and iron-dependent oxygenase degradation C-term
PF13661,1,1,2OG-Fe(II) oxygenase superfamily
PF00970,1,6,Oxidoreductase FAD-binding domain
PF08302,1,1,Fungal tRNA ligase phosphodiesterase domain
PF08303,1,1,tRNA ligase kinase domain
PF09511,1,1,RNA ligase
PF10187,1,0,"FAM192A/Fyv6, N-terminal domain"
PF00166,1,1,Chaperonin 10 Kd subunit
PF08784,1,1,Replication protein A C terminal
PF08147,1,1,DBP10CT (NUC160) domain
PF00130,1,2,Phorbol esters/diacylglycerol binding domain (C1 domain)
PF03467,1,1,Smg-4/UPF3 family
PF05063,1,1,MT-A70
PF03666,1,0,Nitrogen Permease regulator of amino acid transport activity 3
PF08696,1,1,DNA replication factor Dna2
PF13604,1,3,AAA domain
PF03224,1,1,V-ATPase subunit H
PF11698,1,1,V-ATPase subunit H
PF19501,1,1,YetA-like protein
PF14832,1,0,Putative oxalocrotonate tautomerase enzyme
PF01090,1,0,Ribosomal protein S19e
PF12761,1,1,Actin cytoskeleton-regulatory complex protein END3
PF02089,1,0,Palmitoyl protein thioesterase
PF17304,1,0,Family of unknown function (DUF5353)
PF13889,1,0,Chromosome segregation during meiosis
PF13915,1,0,Domain of unknown function (DUF4210)
PF12009,1,0,Telomerase ribonucleoprotein complex - RNA binding domain
PF13772,1,0,AIG2-like family
PF00113,1,1,"Enolase, C-terminal TIM barrel domain"
PF03952,1,1,"Enolase, N-terminal domain"
PF03124,1,2,EXS family
PF06644,1,0,ATP11 protein
PF09766,1,0,Fms-interacting protein/Thoc5
PF13085,1,2,2Fe-2S iron-sulfur cluster binding domain
PF13183,1,2,4Fe-4S dicluster domain
PF13237,2,2,4Fe-4S dicluster domain
PF13534,1,2,4Fe-4S dicluster domain
PF05786,1,2,Condensin complex subunit 2
PF04227,1,1,Indigoidine synthase A like protein
PF04597,1,1,Ribophorin I
PF08318,1,1,COG4 transport protein
PF10516,1,1,SHNi-TPR
PF16420,1,1,Ubiquitin-like modifier-activating enzyme ATG7 N-terminus
PF02229,1,1,Transcriptional Coactivator p15 (PC4)
PF03632,1,0,Glycosyl hydrolase family 65 central catalytic domain
PF02560,1,1,Cyanate lyase C-terminal domain
PF02595,1,0,Glycerate kinase family
PF16881,1,0,N-terminal domain of lipoyl synthase of Radical_SAM family
PF00187,1,4,Chitin recognition protein
PF02391,1,1,MoaE protein
PF11416,1,0,"Syntaxin-5 N-terminal, Sly1p-binding domain"
PF07366,1,0,SnoaL-like polyketide cyclase
PF07958,1,1,Protein of unknown function (DUF1688)
PF10306,1,0,Hypothetical protein FLILHELTA
PF03815,1,1,LCCL domain
PF13625,1,0,Helicase conserved C-terminal domain
PF16203,1,0,ERCC3/RAD25/XPB C-terminal helicase
PF09742,1,1,Dyggve-Melchior-Clausen syndrome protein
PF12722,1,1,High-temperature-induced dauer-formation protein
PF01536,1,1,Adenosylmethionine decarboxylase
PF13869,1,1,Nucleotide hydrolase
PF17186,1,0,Lipocalin-like domain
PF18120,1,0,Domain of unknown function (DUF5597)
PF10153,1,1,rRNA-processing protein Efg1
PF12998,1,0,Inhibitor of growth proteins N-terminal histone-binding
PF08658,1,1,Rad54 N terminal
PF14330,1,0,Domain of unknown function (DUF4387)
PF17109,3,1,fungal STAND N-terminal Goodbye domain
PF01786,1,1,Alternative oxidase
PF11719,1,1,DNA replication and checkpoint protein
PF05557,1,0,Mitotic checkpoint protein
PF20408,1,0,Alpha/beta hydrolase domain
PF05719,1,1,Golgi phosphoprotein 3 (GPP34)
PF12838,1,0,4Fe-4S dicluster domain
PF13187,1,0,4Fe-4S dicluster domain
PF04935,1,1,Surfeit locus protein 6
PF15459,1,1,60S ribosome biogenesis protein Rrp14
PF04109,1,1,Autophagy protein ATG9
PF06419,1,1,Conserved oligomeric complex COG6
PF01784,1,1,NIF3 (NGG1p interacting factor 3)
PF10018,1,0,Vitamin-D-receptor interacting Mediator subunit 4
PF00208,2,2,Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF14845,1,2,beta-acetyl hexosaminidase like
PF02012,1,0,BNR/Asp-box repeat
PF11789,1,1,Zinc-finger of the MIZ type in Nse subunit
PF08914,1,1,Rap1 Myb domain
PF11626,1,1,TRF2-interacting telomeric protein/Rap1 - C terminal domain
PF01321,1,1,Creatinase/Prolidase N-terminal domain
PF16188,1,1,C-terminal region of peptidase_M24
PF16189,1,1,Creatinase/Prolidase N-terminal domain
PF04084,1,1,Origin recognition complex subunit 2
PF01960,1,1,ArgJ family
PF03079,1,1,ARD/ARD' family
PF07855,1,1,Autophagy-related protein 101
PF04882,1,1,Peroxin-3
PF16912,1,1,Glucose dehydrogenase C-terminus
PF06870,1,1,A49-like RNA polymerase I associated factor
PF16015,1,1,Promethin
PF09088,1,1,MIF4G like
PF09090,1,1,MIF4G like
PF07683,1,1,Cobalamin synthesis protein cobW C-terminal domain
PF02257,1,1,RFX DNA-binding domain
PF01195,1,1,Peptidyl-tRNA hydrolase
PF08634,1,1,Mitochondrial protein Pet127
PF11001,1,1,Protein of unknown function (DUF2841)
PF00625,1,3,Guanylate kinase
PF04098,1,1,Rad52/22 family double-strand break repair protein
PF04667,1,1,cAMP-regulated phosphoprotein/endosulfine conserved region
PF04252,1,1,Predicted SAM-dependent RNA methyltransferase
PF02812,1,1,"Glu/Leu/Phe/Val dehydrogenase, dimerisation domain"
PF04420,1,1,CHD5-like protein
PF10375,1,1,GRAB domain
PF00317,1,0,"Ribonucleotide reductase, all-alpha domain"
PF02867,1,0,"Ribonucleotide reductase, barrel domain"
PF03477,1,0,ATP cone domain
PF04006,1,1,Mpp10 protein
PF08426,1,1,ICE2
PF03690,1,1,Uncharacterised protein family (UPF0160)
PF13816,1,1,Haem-containing dehydratase
PF06911,1,1,Senescence domain
PF14304,1,2,Transcription termination and cleavage factor C-terminal
PF14327,1,2,Hinge domain of cleavage stimulation factor subunit 2
PF07521,1,1,Zn-dependent metallo-hydrolase RNA specificity domain
PF10996,1,2,Beta-Casp domain
PF13299,1,1,Cleavage and polyadenylation factor 2 C-terminal
PF16661,1,2,Metallo-beta-lactamase superfamily domain
PF03561,1,1,Allantoicase repeat
PF09351,1,1,Domain of unknown function (DUF1993)
PF07064,1,0,RIC1
PF11720,1,1,Peptidase inhibitor I78 family
PF01170,1,1,Putative RNA methylase family UPF0020
PF16543,1,2,"DRG Family Regulatory Proteins, Tma46"
PF16906,1,1,"Ribosomal proteins L26 eukaryotic, L24P archaeal"
PF03643,1,1,Vacuolar protein sorting-associated protein 26
PF13671,1,5,AAA domain
PF18477,1,1,PIN like domain
PF08597,1,1,Translation initiation factor eIF3 subunit
PF01394,1,1,Clathrin propeller repeat
PF13838,1,1,Clathrin-H-link
PF02436,1,1,Conserved carboxylase domain
PF02655,1,1,ATP-grasp domain
PF08443,1,1,RimK-like ATP-grasp domain
PF13533,1,1,Biotin-lipoyl like
PF03332,1,1,Eukaryotic phosphomannomutase
PF06248,1,0,Centromere/kinetochore Zw10
PF11989,1,0,Retrograde transport protein Dsl1 C terminal
PF09079,1,0,"CDC6, C terminal winged helix domain"
PF10311,1,1,Increased loss of mitochondrial DNA protein 1
PF06202,1,1,"Amylo-alpha-1,6-glucosidase"
PF14699,1,1,N-terminal domain from the human glycogen debranching enzyme
PF14701,1,1,"Glycogen debranching enzyme, glucanotransferase domain"
PF14702,1,1,Central domain of human glycogen debranching enzyme
PF04750,1,1,FAR-17a/AIG1-like protein
PF09428,1,1,Fungal protein of unknown function (DUF2011)
PF18596,1,0,Sld7 C-terminal domain
PF13603,1,1,"Leucyl-tRNA synthetase, Domain 2"
PF08609,1,1,Nucleotide exchange factor Fes1
PF07896,1,1,Protein of unknown function (DUF1674)
PF01627,1,1,Hpt domain
PF10469,1,1,AKAP7 2'5' RNA ligase-like domain
PF01431,1,1,Peptidase family M13
PF05649,1,1,Peptidase family M13
PF20253,1,3,Family of unknown function (DUF6604)
PF04248,1,0,Domain of unknown function (DUF427)
PF06732,1,1,Pescadillo N-terminus
PF16714,1,1,Tyrosyl-tRNA synthetase C-terminal domain
PF06089,1,0,L-asparaginase II
PF02015,1,2,Glycosyl hydrolase family 45
PF05705,1,2,Eukaryotic protein of unknown function (DUF829)
PF02569,1,0,Pantoate-beta-alanine ligase
PF09759,1,1,Spinocerebellar ataxia type 10 protein domain
PF04568,1,1,"Mitochondrial ATPase inhibitor, IATP"
PF05328,1,1,"CybS, succinate dehydrogenase cytochrome B small subunit"
PF05222,1,0,"Alanine dehydrogenase/PNT, N-terminal domain"
PF11559,1,1,Afadin- and alpha -actinin-Binding
PF07350,1,3,Protein of unknown function (DUF1479)
PF08292,1,1,RNA polymerase III subunit Rpc25
PF10453,1,0,Nuclear fragile X mental retardation-interacting protein 1 (NUFIP1)
PF04927,1,0,Seed maturation protein
PF05726,1,1,Pirin C-terminal cupin domain
PF03983,1,1,"SLA1 homology domain 1, SHD1"
PF12816,1,1,Golgi CORVET complex core vacuolar protein 8
PF20354,1,1,Family of unknown function (DUF6649)
PF01411,1,1,tRNA synthetases class II (A)
PF02272,1,1,DHHA1 domain
PF03943,1,1,TAP C-terminal domain
PF04137,1,1,Endoplasmic Reticulum Oxidoreductin 1 (ERO1)
PF00762,1,1,Ferrochelatase
PF05764,1,1,YL1 nuclear protein
PF03730,1,1,Ku70/Ku80 C-terminal arm
PF03731,1,1,Ku70/Ku80 N-terminal alpha/beta domain
PF08623,1,1,TATA-binding protein interacting (TIP20)
PF04749,1,1,PLAC8 family
PF01965,1,6,DJ-1/PfpI family
PF17124,1,1,ThiJ/PfpI family-like
PF04124,1,1,Dor1-like family
PF09816,1,1,RNA polymerase II transcription elongation factor
PF16122,1,0,40S ribosomal protein SA C-terminus
PF01488,1,1,Shikimate / quinate 5-dehydrogenase
PF13902,1,1,R3H-associated N-terminal domain
PF10528,1,0,GLEYA domain
PF17110,1,1,Subunit 11 of the general transcription factor TFIIH
PF06999,1,2,Sucrase/ferredoxin-like
PF12351,1,1,Ca2+ regulator and membrane fusion protein Fig1
PF04136,1,1,Sec34-like family
PF09358,1,1,Ubiquitin fold domain
PF10585,1,1,"Ubiquitin-activating enzyme, SCCH domain"
PF16190,1,1,Ubiquitin-activating enzyme E1 FCCH domain
PF16191,1,1,Ubiquitin-activating enzyme E1 four-helix bundle
PF16892,1,1,Chitin biosynthesis protein CHS5 N-terminus
PF16893,1,1,Fibronectin type III domain
PF01991,1,1,ATP synthase (E/31 kDa) subunit
PF09794,1,0,Transport protein Avl9
PF02221,1,1,ML domain
PF01990,1,1,ATP synthase (F/14-kDa) subunit
PF10332,1,1,Protein of unknown function (DUF2418)
PF01274,1,1,Malate synthase
PF05971,1,0,RNA methyltransferase
PF12054,1,0,Domain of unknown function (DUF3535)
PF09598,1,0,Stm1
PF10503,0,4,Esterase PHB depolymerase
PF13931,0,1,Kinesin-associated microtubule-binding
PF13298,0,1,DNA polymerase Ligase (LigD)
PF08617,0,1,Kinase binding protein CGI-121
PF04229,0,1,GrpB protein
PF06330,0,3,Trichodiene synthase (TRI5)
PF17667,0,2,Fungal protein kinase
PF17649,0,1,Vacuolar protein sorting 38
PF04722,0,1,Ssu72-like protein
PF09494,0,1,Slx4 endonuclease
PF04577,0,1,Glycosyltransferase 61
PF08213,0,1,"Mitochondrial mRNA-processing protein COX24, C-terminal"
PF00368,0,1,Hydroxymethylglutaryl-coenzyme A reductase
PF13323,0,1,N-terminal domain with HPIH motif
PF10340,0,2,Steryl acetyl hydrolase
PF12955,0,1,Domain of unknown function (DUF3844)
PF05057,0,8,Putative serine esterase (DUF676)
PF07819,0,4,PGAP1-like protein
PF04419,0,2,4F5 protein related disordered region
PF12907,0,1,Zinc-binding
PF01928,0,1,CYTH domain
PF00158,0,3,Sigma-54 interaction domain
PF11954,0,1,Domain of unknown function (DUF3471)
PF09320,0,1,Domain of unknown function (DUF1977)
PF03162,0,1,Tyrosine phosphatase family
PF08690,0,1,GET complex subunit GET2
PF11558,0,1,Het-s 218-289
PF14441,0,2,OTT_1508-like deaminase
PF11326,0,1,Protein of unknown function (DUF3128)
PF00633,0,2,Helix-hairpin-helix motif
PF14815,0,1,NUDIX domain
PF08288,0,1,PIGA (GPI anchor biosynthesis)
